model,condition,threshold,n,auto_n,auto_correct,coverage,auto_accuracy,escalation
claude-sonnet-4,D,3,138,138,102,1.0,0.7391,0.0
claude-sonnet-4,D,4,138,138,102,1.0,0.7391,0.0
claude-sonnet-4,D,5,138,138,102,1.0,0.7391,0.0
claude-sonnet-4,D,6,138,137,101,0.9928,0.7372,0.0072
claude-sonnet-4,D,7,138,131,98,0.9493,0.7481,0.0507
claude-sonnet-4,D,8,138,108,84,0.7826,0.7778,0.2174
claude-sonnet-4,D,9,138,76,62,0.5507,0.8158,0.4493
claude-sonnet-4,D,10,138,1,1,0.0072,1.0,0.9928
gemini-2.5-flash,A,1,909,909,735,1.0,0.8086,0.0
gemini-2.5-flash,A,2,909,902,728,0.9923,0.8071,0.0077
gemini-2.5-flash,A,3,909,902,728,0.9923,0.8071,0.0077
gemini-2.5-flash,A,4,909,902,728,0.9923,0.8071,0.0077
gemini-2.5-flash,A,5,909,902,728,0.9923,0.8071,0.0077
gemini-2.5-flash,A,6,909,902,728,0.9923,0.8071,0.0077
gemini-2.5-flash,A,7,909,902,728,0.9923,0.8071,0.0077
gemini-2.5-flash,A,8,909,887,713,0.9758,0.8038,0.0242
gemini-2.5-flash,A,9,909,765,604,0.8416,0.7895,0.1584
gemini-2.5-flash,A,10,909,477,367,0.5248,0.7694,0.4752
gemini-2.5-flash,B,1,909,909,783,1.0,0.8614,0.0
gemini-2.5-flash,B,2,909,901,775,0.9912,0.8602,0.0088
gemini-2.5-flash,B,3,909,901,775,0.9912,0.8602,0.0088
gemini-2.5-flash,B,4,909,901,775,0.9912,0.8602,0.0088
gemini-2.5-flash,B,5,909,901,775,0.9912,0.8602,0.0088
gemini-2.5-flash,B,6,909,901,775,0.9912,0.8602,0.0088
gemini-2.5-flash,B,7,909,901,775,0.9912,0.8602,0.0088
gemini-2.5-flash,B,8,909,896,771,0.9857,0.8605,0.0143
gemini-2.5-flash,B,9,909,864,747,0.9505,0.8646,0.0495
gemini-2.5-flash,B,10,909,552,481,0.6073,0.8714,0.3927
gemini-2.5-flash,C,1,147,147,96,1.0,0.6531,0.0
gemini-2.5-flash,C,2,147,147,96,1.0,0.6531,0.0
gemini-2.5-flash,C,3,147,147,96,1.0,0.6531,0.0
gemini-2.5-flash,C,4,147,147,96,1.0,0.6531,0.0
gemini-2.5-flash,C,5,147,147,96,1.0,0.6531,0.0
gemini-2.5-flash,C,6,147,147,96,1.0,0.6531,0.0
gemini-2.5-flash,C,7,147,147,96,1.0,0.6531,0.0
gemini-2.5-flash,C,8,147,147,96,1.0,0.6531,0.0
gemini-2.5-flash,C,9,147,147,96,1.0,0.6531,0.0
gemini-2.5-flash,C,10,147,75,39,0.5102,0.52,0.4898
gemini-2.5-flash,D,1,146,146,99,1.0,0.6781,0.0
gemini-2.5-flash,D,2,146,146,99,1.0,0.6781,0.0
gemini-2.5-flash,D,3,146,146,99,1.0,0.6781,0.0
gemini-2.5-flash,D,4,146,146,99,1.0,0.6781,0.0
gemini-2.5-flash,D,5,146,146,99,1.0,0.6781,0.0
gemini-2.5-flash,D,6,146,146,99,1.0,0.6781,0.0
gemini-2.5-flash,D,7,146,146,99,1.0,0.6781,0.0
gemini-2.5-flash,D,8,146,146,99,1.0,0.6781,0.0
gemini-2.5-flash,D,9,146,144,97,0.9863,0.6736,0.0137
gemini-2.5-flash,D,10,146,76,40,0.5205,0.5263,0.4795
